Date,Price,Open,High,Low,Vol.,Change %
11-Jul-18,84.6,85.08,85.79,84.36,-,-2.07%
10-Jul-18,86.39,85.49,86.41,85.15,-,1.12%
9-Jul-18,85.43,84.27,85.69,84.26,-,1.26%
6-Jul-18,84.37,81.87,84.73,81.8,-,2.78%
5-Jul-18,82.09,82.4,83.46,81.81,-,-0.83%
3-Jul-18,82.78,83.31,83.65,82.62,-,-0.23%
2-Jul-18,82.97,84.22,85.03,82.86,-,-2.82%
29-Jun-18,85.38,84.94,87.06,84.37,-,0.70%
28-Jun-18,84.79,85.83,85.96,84.52,-,-1.22%
27-Jun-18,85.84,85.75,86,85.3,-,0.28%
26-Jun-18,85.6,86.02,86.38,85.48,-,-0.58%
25-Jun-18,86.1,86.38,87.27,85.34,-,0.34%
22-Jun-18,85.81,83.19,85.82,83.12,-,3.20%
21-Jun-18,83.15,83.38,84.17,83.02,-,-0.16%
20-Jun-18,83.28,83.15,85.7,83.11,-,-0.06%
19-Jun-18,83.33,87.57,88.2,83.32,-,-4.73%
18-Jun-18,87.47,90.53,90.55,86.81,-,-3.36%
15-Jun-18,90.51,93.01,93.09,90.5,-,-3.04%
14-Jun-18,93.35,93.64,94.5,92.61,-,-0.44%
13-Jun-18,93.76,95.19,95.66,93.23,-,-1.56%
12-Jun-18,95.25,95.12,95.84,94.69,-,0.44%
11-Jun-18,94.83,95.16,96.49,94.01,-,-0.06%
8-Jun-18,94.89,93.94,95.84,93.6,-,0.86%
7-Jun-18,94.08,91.11,94.92,90.45,-,3.43%
6-Jun-18,90.96,89.85,91.71,89.36,-,1.29%
5-Jun-18,89.8,92.72,92.72,89.75,-,-2.55%
4-Jun-18,92.15,93.34,94.5,92.08,-,-1.44%
1-Jun-18,93.5,93.12,94.49,92.73,-,0.44%
31-May-18,93.09,92.44,93.73,91.77,-,0.64%
30-May-18,92.5,94.65,96.3,91.22,-,-0.76%
29-May-18,93.21,89.62,93.21,89.59,-,4.31%
25-May-18,89.36,87.32,89.69,87.15,-,2.25%
24-May-18,87.39,87.06,87.85,86.65,-,0.52%
23-May-18,86.94,87.36,87.74,86.73,-,-0.39%
22-May-18,87.28,88.65,89.87,86.64,-,-1.49%
21-May-18,88.6,87.17,88.72,87.16,-,2.42%
18-May-18,86.51,85.06,87.59,85.06,-,1.85%
17-May-18,84.94,84.46,85.68,84.06,-,0.69%
16-May-18,84.36,83.85,85.38,83.64,-,0.69%
15-May-18,83.78,83.99,84.35,83.37,-,-0.13%
14-May-18,83.89,84.66,84.89,83.5,-,-0.70%
11-May-18,84.48,84.75,84.95,83.51,-,-0.07%
10-May-18,84.54,86.17,86.17,84.06,-,-1.48%
9-May-18,85.81,85.47,86.05,85.21,-,0.42%
8-May-18,85.45,86.11,86.88,85.12,-,-0.73%
7-May-18,86.08,87,88.08,85.92,-,-0.98%
4-May-18,86.93,84.55,87.06,84.03,-,2.95%
3-May-18,84.44,84.69,85.11,83.84,-,-0.39%
2-May-18,84.77,84.55,85.1,84.15,-,0.38%
1-May-18,84.45,83.87,84.69,83.62,-,0.68%
30-Apr-18,83.88,84.58,84.73,83.34,-,-0.66%
27-Apr-18,84.44,84.22,84.78,83.99,-,0.42%
26-Apr-18,84.09,83.93,84.94,83.61,-,0.24%
25-Apr-18,83.89,81.75,84.53,81.58,-,2.38%
24-Apr-18,81.94,84.08,84.55,81.51,-,-2.85%
23-Apr-18,84.34,84.87,85.39,84.06,-,-1.47%
20-Apr-18,85.6,82.97,85.63,82.97,-,3.27%
19-Apr-18,82.89,82.62,83.14,82.56,-,0.30%
18-Apr-18,82.64,83.09,83.34,82.5,-,-0.51%
17-Apr-18,83.06,83.3,83.58,82.06,-,-0.32%
16-Apr-18,83.33,83.55,84.03,83.01,-,-0.20%
13-Apr-18,83.5,83.81,84.45,83.06,-,-0.41%
12-Apr-18,83.84,83.79,83.97,83.19,-,0.14%
11-Apr-18,83.72,83.61,84.03,83.32,-,0.17%
10-Apr-18,83.58,82.8,83.58,82.33,-,0.88%
9-Apr-18,82.85,82.77,83.69,82.71,-,0.19%
6-Apr-18,82.69,82.06,83.44,81.84,-,0.07%
5-Apr-18,82.63,79.55,82.64,79.5,-,3.85%
4-Apr-18,79.57,82.06,82.31,78.63,-,-3.01%
3-Apr-18,82.04,81.04,82.8,81,-,1.25%
2-Apr-18,81.03,81.71,82.7,80.93,-,-0.67%
29-Mar-18,81.58,80.75,82.19,80.69,-,0.97%
28-Mar-18,80.8,81.93,82.13,80.68,-,-1.49%
27-Mar-18,82.02,81.89,82.74,81.72,-,0.32%
26-Mar-18,81.76,82,82.56,81.53,-,-0.05%
23-Mar-18,81.8,82.25,82.38,81.4,-,-0.44%
22-Mar-18,82.16,82.72,83.16,81.78,-,-0.65%
21-Mar-18,82.7,82.75,83.85,82.55,-,-0.36%
20-Mar-18,83,81.2,83.35,80.97,-,2.13%
19-Mar-18,81.27,82.92,82.95,81.2,-,-1.86%
16-Mar-18,82.81,83.63,83.69,82.45,-,-0.92%
15-Mar-18,83.58,83.55,83.85,82.68,-,0.29%
14-Mar-18,83.34,83.31,83.87,82.44,-,0.35%
13-Mar-18,83.05,83.14,84.17,82.1,-,-0.19%
12-Mar-18,83.21,84.34,85.02,82.89,-,-1.49%
9-Mar-18,84.47,85.09,85.55,84.25,-,-0.57%
8-Mar-18,84.95,83.09,85.25,83.09,-,2.31%
7-Mar-18,83.03,82.55,83.75,81.81,-,0.65%
6-Mar-18,82.49,84.89,86.59,81.78,-,-2.79%
5-Mar-18,84.86,82.34,85.3,82.26,-,3.30%
2-Mar-18,82.15,81.53,82.22,81.11,-,0.53%
1-Mar-18,81.72,82.78,83.05,80.69,-,-1.40%
28-Feb-18,82.88,82.27,83.05,81.83,-,0.61%
27-Feb-18,82.38,82.12,82.42,81.17,-,0.32%
26-Feb-18,82.12,81.33,82.44,81.05,-,0.86%
23-Feb-18,81.42,79.44,81.42,79.38,-,2.40%
22-Feb-18,79.51,80.23,80.28,79.25,-,-0.97%
21-Feb-18,80.29,78.88,80.52,78.78,-,1.54%
20-Feb-18,79.07,77.03,79.34,77.03,-,4.56%
16-Feb-18,75.62,75.36,75.87,75.14,-,0.31%
15-Feb-18,75.39,75.58,76.28,75.11,-,-0.28%
14-Feb-18,75.6,76.32,76.32,75.42,-,-0.75%
13-Feb-18,76.17,76.43,76.52,75.67,-,-0.26%
12-Feb-18,76.37,76.49,77.47,76.11,-,-0.50%
9-Feb-18,76.75,76.88,77.23,75.75,-,-0.29%
8-Feb-18,76.97,75.95,77.51,75.91,-,1.20%
7-Feb-18,76.06,76.34,76.92,75.83,-,-0.33%
6-Feb-18,76.31,76.6,76.78,75.86,-,-0.40%
5-Feb-18,76.62,77.38,77.89,76.46,-,-0.97%
2-Feb-18,77.37,78.42,78.83,77.25,-,-1.20%
1-Feb-18,78.31,77.2,79.92,77.18,-,1.45%
31-Jan-18,77.19,77.16,78.19,76.53,-,0.08%
30-Jan-18,77.13,78.32,78.93,76.98,-,-1.67%
29-Jan-18,78.44,80.59,80.62,78.16,-,-2.60%
26-Jan-18,80.53,81.9,81.98,80.32,-,-1.65%
25-Jan-18,81.88,82.22,82.83,81.78,-,-0.52%
24-Jan-18,82.31,82.19,82.73,81.62,-,0.13%
23-Jan-18,82.2,83.5,83.66,82.03,-,-1.44%
22-Jan-18,83.4,83.39,83.95,83,-,-0.04%
19-Jan-18,83.43,82.49,83.75,82.39,-,0.93%
18-Jan-18,82.66,81.98,83.94,81.84,-,0.68%
17-Jan-18,82.1,81.2,82.22,80.97,-,1.01%
16-Jan-18,81.28,81.73,82.06,80.63,-,-0.36%
12-Jan-18,81.57,82.93,84.65,80.33,-,-1.31%
11-Jan-18,82.65,79.53,82.65,79.43,-,3.81%
10-Jan-18,79.62,78.44,79.92,78.37,-,1.58%
9-Jan-18,78.38,78.1,78.69,78.05,-,0.14%
8-Jan-18,78.27,78.09,78.8,77.94,-,0.42%
5-Jan-18,77.94,79.22,80.05,77.81,-,-1.59%
4-Jan-18,79.2,78.08,79.39,78.06,-,1.42%
3-Jan-18,78.09,77.56,78.29,77.39,-,0.48%
2-Jan-18,77.72,78.66,79.28,77.31,-,-0.96%
29-Dec-17,78.47,78.78,78.91,78.22,-,-0.39%
28-Dec-17,78.78,78.8,79.44,78.6,-,-0.23%
27-Dec-17,78.96,77.72,78.98,77.27,-,1.81%
26-Dec-17,77.56,77.96,78.16,77.18,-,-0.44%
22-Dec-17,77.9,77.36,78.03,77.01,-,0.35%
21-Dec-17,77.63,75.59,78.06,75.44,-,2.52%
20-Dec-17,75.72,74.99,75.95,74.95,-,0.91%
19-Dec-17,75.04,75.34,75.91,74.94,-,-0.25%
18-Dec-17,75.23,75.94,76.43,75.13,-,-0.83%
15-Dec-17,75.86,75.15,76.75,75.06,-,0.73%
14-Dec-17,75.31,74.04,75.55,73.91,-,1.55%
13-Dec-17,74.16,72.94,74.22,72.93,-,1.53%
12-Dec-17,73.04,72.84,74.19,72.78,-,0.27%
11-Dec-17,72.84,73.66,73.83,72.81,-,-1.19%
8-Dec-17,73.72,74.15,74.27,73.62,-,-0.62%
7-Dec-17,74.18,72.77,74.26,72.11,-,2.02%
6-Dec-17,72.71,72.49,73.27,72.46,-,0.21%
5-Dec-17,72.56,72.53,73.15,72.16,-,-0.06%
4-Dec-17,72.6,73.31,73.35,72.51,-,-0.85%
1-Dec-17,73.22,72.8,73.41,72.67,-,0.60%
30-Nov-17,72.78,73.19,73.45,72.29,-,-0.86%
29-Nov-17,73.41,72.08,73.46,71.77,-,1.63%
28-Nov-17,72.23,71.31,72.29,71.03,-,1.11%
27-Nov-17,71.44,71.96,72.39,71.21,-,-0.70%
24-Nov-17,71.94,71.16,72.06,71.07,-,1.05%
22-Nov-17,71.19,70.06,71.75,69.91,-,1.60%
21-Nov-17,70.07,70.66,71.34,69.55,-,-1.05%
